"Sl. No.","Crop-wise","2010-20","2020-21","2021-22","2022-23","2023-24"
"1","Rice","2722","2717","2798","2838","2882"
"2","Wheat","3440","3521","3537","3521","3559"
"3","Maize","3006","3199","3387","3545","3351"
"4","Barley","2920","2796","3025","3044","3082"
"5","Jowar","989","1099","1092","1079","1162"
"6","Bajra","1374","1420","1430","1510","1453"
"7","Ragi","1747","1724","1396","1454","1375"
"8","Small Millets","809","781","857","898","935"
"9","Shree Anna/Nutri Cereals","1248","1322","1302","1364","1337"
"10","Nutri/Coarse Cereals","1991","2128","2251","2381","2283"
"11","Cereals","2772","2824","2899","2939","2945"
"12","Tur","859","914","861","814","827"
"13","Gram","1142","1192","1261","1172","1151"
"14","Urad","459","538","599","657","656"
"15","Moong","548","601","570","663","598"
"16","Lentil","847","1017","899","952","1028"
"17","Other Pulses","707","731","666","823","776"
"18","Total Pulses","823","885","888","902","881"
"19","Total Food Grains","2343","2394","2425","2494","2515"
